1	test_the_save_button_says_what_it_is_waiting_for	oben=10	tot=0	leash=0	handles=270	arbeitssatz=107286528	auslagerung=850432000	gc=89315
2	test_every_setting_in_the_model_has_a_field	oben=10	tot=0	leash=0	handles=270	arbeitssatz=107274240	auslagerung=850419712	gc=89330
3	test_every_field_points_at_a_real_setting	oben=10	tot=0	leash=0	handles=270	arbeitssatz=107413504	auslagerung=850419712	gc=88990
4	test_filament_dialog_contains_only_values_that_belong_to_the_spool	oben=10	tot=0	leash=0	handles=270	arbeitssatz=108769280	auslagerung=851288064	gc=89059
5	test_filament_dialog_builds_one_groupwise_override	oben=10	tot=0	leash=0	handles=280	arbeitssatz=111185920	auslagerung=852770816	gc=89072
6	test_every_field_lands_in_a_known_group	oben=10	tot=0	leash=0	handles=280	arbeitssatz=110891008	auslagerung=852754432	gc=89085
7	test_the_front_page_stays_short	oben=10	tot=0	leash=0	handles=280	arbeitssatz=110891008	auslagerung=852754432	gc=89098
8	test_the_editors_start_on_the_resolved_values	oben=20	tot=0	leash=0	handles=280	arbeitssatz=111316992	auslagerung=852811776	gc=89486
9	test_a_speed_survives_being_shown	oben=30	tot=0	leash=0	handles=281	arbeitssatz=113258496	auslagerung=854630400	gc=89810
10	test_choosing_a_filament_adopts_its_values	oben=11	tot=0	leash=0	handles=281	arbeitssatz=113283072	auslagerung=855031808	gc=89353
11	test_filling_the_filament_list_changes_nothing	oben=21	tot=0	leash=0	handles=281	arbeitssatz=114880512	auslagerung=856342528	gc=89681
12	test_changing_a_field_reaches_the_settings	oben=31	tot=0	leash=0	handles=281	arbeitssatz=115539968	auslagerung=856788992	gc=90007
13	test_changing_the_quality_reloads_every_field	oben=41	tot=0	leash=0	handles=281	arbeitssatz=115884032	auslagerung=857030656	gc=90333
14	test_the_colour_button_says_which_colour_it_is	oben=41	tot=0	leash=0	handles=281	arbeitssatz=117125120	auslagerung=858333184	gc=90348
15	test_a_checkbox_writes_through	oben=21	tot=0	leash=0	handles=281	arbeitssatz=117276672	auslagerung=858398720	gc=89732
16	test_an_enum_writes_through	oben=31	tot=0	leash=0	handles=281	arbeitssatz=117399552	auslagerung=858447872	gc=90063
17	test_an_enum_shows_words_and_stores_the_english_value	oben=41	tot=0	leash=0	handles=281	arbeitssatz=117411840	auslagerung=858447872	gc=90389
18	test_every_choice_entry_says_what_it_does	oben=51	tot=0	leash=0	handles=281	arbeitssatz=117481472	auslagerung=859504640	gc=90715
19	test_slicing_greys_out_before_the_click_when_the_licence_ran_out	oben=31	tot=0	leash=0	handles=281	arbeitssatz=118640640	auslagerung=860741632	gc=90122
20	test_slicing_greys_out_until_the_profiles_are_chosen	oben=43	tot=0	leash=0	handles=281	arbeitssatz=119357440	auslagerung=861392896	gc=90454
21	test_a_share_is_shown_in_percent_and_stored_as_a_fraction	oben=53	tot=0	leash=0	handles=281	arbeitssatz=119369728	auslagerung=861392896	gc=90780
22	test_the_close_button_speaks_german	oben=63	tot=0	leash=0	handles=281	arbeitssatz=119562240	auslagerung=861540352	gc=91106
23	test_the_advice_list_names_a_reason	oben=10	tot=0	leash=0	handles=281	arbeitssatz=114466816	auslagerung=856772608	gc=89336
24	test_applying_the_advice_moves_the_editors	oben=20	tot=0	leash=0	handles=281	arbeitssatz=119017472	auslagerung=861003776	gc=89657
25	test_the_layer_analysis_may_arrive_after_the_dialog	oben=10	tot=0	leash=0	handles=350	arbeitssatz=206454784	auslagerung=1746100224	gc=140796
26	test_a_missing_layer_analysis_changes_nothing	oben=20	tot=0	leash=0	handles=350	arbeitssatz=208535552	auslagerung=1748082688	gc=141095
27	test_the_advice_list_is_never_empty_of_words	oben=20	tot=0	leash=0	handles=350	arbeitssatz=210083840	auslagerung=1749598208	gc=139624
28	test_no_field_stretches_across_the_whole_dialog	oben=30	tot=0	leash=0	handles=350	arbeitssatz=213577728	auslagerung=1752854528	gc=139955
29	test_the_deeper_settings_fold_away_instead_of_greying_out	oben=40	tot=0	leash=0	handles=358	arbeitssatz=218210304	auslagerung=1757384704	gc=140285
30	test_a_hint_that_points_into_a_folded_section_opens_it	oben=53	tot=0	leash=0	handles=358	arbeitssatz=221011968	auslagerung=1759907840	gc=140614
31	test_every_field_says_what_it_does	oben=30	tot=0	leash=0	handles=358	arbeitssatz=212811776	auslagerung=1752735744	gc=140015
32	test_the_explanation_arrives_at_the_field_and_at_its_label	oben=40	tot=0	leash=0	handles=358	arbeitssatz=216801280	auslagerung=1755942912	gc=140346
33	test_a_dialog_built_after_a_language_change_speaks_that_language	oben=50	tot=0	leash=0	handles=358	arbeitssatz=218284032	auslagerung=1757429760	gc=140727
